,question,option_a,option_b,option_c,option_d,correct answer,option,subject,llama_score
44,மாநில அரசின் சட்டங்கள் யாரால் இயற்றப்படுகின்றன, முதலமைச்சர்,சட்டமன்ற உறுப்பினர்கள்,குடியரசுத்தலைவர்,மாநில ஆளுநர்,சட்டமன்ற உறுப்பினர்கள்,1,civics,0
45,சட்டமன்ற மேலவை உறுப்பினர்களின் பதவிக்காலம்,6 ஆண்டுகள்,3 ஆண்டுகள்,4 ஆண்டுகள்,5 ஆண்டுகள்,6 ஆண்டுகள்,0,civics,0
46,மாநில அரசின் உயர் அதிகாரிகளை நியமிப்பதில் முக்கிய பங்கு வகிப்பவர்,ஆளுநர்,குடியரசுத்தலைவர்,முதலமைச்சர்,அமைச்சர்,முதலமைச்சர்,2,civics,1
47,பதவியேற்ற முதலமைச்சர் சட்டமன்ற உறுப்பினராக இல்லாவிட்டால் ----மாத காலத்திற்குள் சட்டமன்ற உறுப்பினராக வேண்டும்.,9 மாத,3 மாத,6 மாத,7 மாத,6 மாத,2,civics,0
48,இரண்டாம் உலகப் போருக்குப் பின்னர் ------------ மனித உரிமைகளைப் பாதுகாக்க பல நடவடிக்கைகளை எடுத்துள்ளது.,ஐ.நா. சபை,உச்ச நீதிமன்றம்,சர்வதேச நீதிமன்றம்,இவைகளில் எதுவுமில்லை,ஐ.நா. சபை,0,civics,0
49,1995ஆம் ஆண்டில் உலகம் முழுவதிலும் இருந்து பெண்கள் ----------- இல் கூடினர்.,நியூயார்க்,பெய்ஜிங்,டெல்லி,எதுவுமில்லை,பெய்ஜிங்,1,civics,0
50,தேசிய மனித உரிமைகள் ஆணையம் நிறுவப்பட்ட ஆண்டு,1974,1978,1993,1992,,2,civics,0
51,ஐ.நா. சபை 1979ஆம் ஆண்டை --------------- சர்வதேச ஆண்டாக அறிவித்தது.,பெண்குழந்தைகள்,குழந்தைகள்,பெண்கள்,இவற்றில் எதுவுமில்லை,குழந்தைகள்,1,civics,0
52,உலக மனித உரிமைகள் தினமாக அனுசரிக்கப்படும் நாள் எது?,டிசம்பர் 5,டிசம்பர் 10,டிசம்பர் 6,டிசம்பர் 8,டிசம்பர் 10,1,civics,1
53,மனித உரிமைகளின் நவீன சர்வதேச மகாசாசனம் என அழைக்கப்படுவது எது?,மனித உரிமைகளுக்கான உலகளாவிய அறிவிப்பு (UDHRC),தேசிய மனித உரிமைகள் ஆணையம் (NHRC),மாநில மனித உரிமைகள் ஆணையம் (SHRC),சர்வதேசப் பெண்கள் ஆண்டு,மனித உரிமைகளுக்கான உலகளாவிய அறிவிப்பு (UDHRC),0,civics,1
54,தேசிய மனித உரிமைகள் ஆணையத்தின் தலைவராக நியமிக்கப்படுபவர் யார்,ஓய்வுபெற்ற உயர் நீதிமன்ற நீதிபதி,ஓய்வு பெற்ற உச்ச நீதிமன்ற தலைமை நீதிபதி,குடியரசுத் தலைவரால் நியமிக்கப்படும் ஏதேனும் ஒருவர்,ஏதேனும் ஒரு நீதிமன்றத்தில் ஓய்வு பெற்ற தலைமை நீதிபதி,ஓய்வு பெற்ற உச்ச நீதிமன்ற தலைமை நீதிபதி,1,civics,1
55,உலக மனித உரிமைகள் அறிவிப்பில் உள்ள சட்டப்பிரிவுகளின் எண்ணிக்கை யாவை?,20,30,40,50,30,1,civics,1
56,தேசிய மனித உரிமைகள் ஆணையத் தலைவரின் பதவிக் காலம் என்ன,5 ஆண்டுகள் அல்லது 62 வயது வரை,5 ஆண்டுகள் அல்லது 65 வயது வரை,6 ஆண்டுகள் அல்லது 65 வயது வரை,5 ஆண்டுகள் அல்லது 70 வயது வரை,5 ஆண்டுகள் அல்லது 70 வயது வரை,3,civics,0
57,தேசிய மனித உரிமைகள் ஆணைய தலைமையகம் அமைந்துள்ள இடம் எது?,புது டெல்லி,மும்பை,அகமதாபாத்,கொல்கத்தா,புது டெல்லி,0,civics,0
58,மாநில மனித உரிமைகள் ஆணையம் அமைக்கப்பட்ட ஆண்டு,1997,1987,1975,1985,1997,0,civics,1
59,ஐக்கிய நாடுகள் சபை நிறுவப்பட்ட ஆண்டு,1942,1945,1957,1978,1945,1,civics,1
60,மனித உரிமைச் சட்டம் தேசிய மனித உரிமைகள் ஆணையம் உருவாக வழிவகுத்த ,1992,1993,199,1995,1993,1,civics,0
61,சிவப்பு விளக்கு ஒளிரும் போது,பாதை தெளிவாக இருக்கும் போது நீங்கள் தொடர்ந்து செல்லல்லாம்,நீங்கள் வாகனத்தை நிறுத்தி பச்சைவிளக்கு ஒளிரும் வரை காத்திருக்க வேண்டும்,உன் நண்பனின் குறுந்தகவலுக்கு விரைவாக பதில் அனுப்பலாம்,செல்லிடப்பேசியில் உரையாடலாம்,நீங்கள் வாகனத்தை நிறுத்தி பச்சைவிளக்கு ஒளிரும் வரை காத்திருக்க வேண்டும்,1,civics,0
62,பாதசாரிகள் சாலையைக் கடக்குமிடம்,சமிக்ஞைகளுக்கு அருகில்,வரிகோட்டு பாதையில்,இவற்றில் எதுவுமில்லை,எங்குவேண்டுமானாலும்,வரிகோட்டு பாதையில்,1,civics,1
63,சாலை பாதுகாப்பு வாரம் ஒவ்வொரு வருடமும் கொண்டாடப்படும் மாதம்,டிசம்பர்,ஜனவரி,மார்ச்,மே,ஜனவரி,1,civics,0
64,"அவசர காலத்தில், அவசர சிகிச்சை ஊர்தி சேவைக்காக அழைக்க வேண்டிய எண்",108,100,106,101,108,0,civics,0
65,சாலை விபத்துக்களுக்கான காரணங்கள் யாவை?,அதிவேகம்,குடிபோதையில் ஓட்டுதல்,ஓட்டுநர்கள் கவனச்சிதறல்,இவை அனைத்தும்,இவை அனைத்தும்,3,civics,1
66,போக்குவரத்துக் குறியீடுகளின் முதல் வகை,எச்சரிக்கை குறியீடுகள்,கட்டாய குறியீடுகள்,தகவல் குறியீடுகள்,இவற்றில் எதுவுமில்லை,கட்டாய குறியீடுகள்,1,civics,0
67,சேது பாரதம் திட்டம் துவங்கப்பட்ட ஆண்டு,2014,2015,2016,2019,2016,2,civics,0
68,ABS என்பதனை விரிவாக்கம் செய்க.,எதிர் நிறுத்தி ஆரம்பம்,பூட்டுதலில்லா நிறுத்தும் அமைப்பு,வருடாந்திர அடிப்படை அமைப்பு,இவற்றுள் எதுவுமில்லை,பூட்டுதலில்லா நிறுத்தும் அமைப்பு,1,civics,0
69,வளைவில் முந்துவது,அனுமதிக்கப்படுகிறது, கவனத்துடன் அனுமதிக்கப்படுகிறது,அனுமதியில்லை,நமது விருப்பம்,அனுமதியில்லை,2,civics,1
70,  புதிய சிற்றுந்துகளுக்கான வரி எத்தனை  வருடத்திற்க்கு ஒரு முறை,13 வருடங்கள்,15 வருடங்கள்,17 வருடங்கள்,12 வருடங்கள்,15 வருடங்கள்,1,civics,0
71,இந்திய ஆயுதப் படைகளின் தலைமைத் தளபதி,குடியரசுத் தலைவர்,பிரதம அமைச்சர்,ஆளுநர்,முதலமைச்சர்,குடியரசுத் தலைவர்,0,civics,0
72,இந்திய இராணுவப் படையின் முதன்மை நோக்கமானது,தேசிய பாதுகாப்பு,தேசிய ஒற்றுமை,அந்நிய ஆக்கிரமிப்பிலிருந்து நாட்டைக் காத்தல்,மேற்கூறிய அனைத்தும்,மேற்கூறிய அனைத்தும்,3,civics,0
73,இராணுவ தினம் அனுசரிக்கப்படும் நாள்,ஜனவரி 15,பிப்ரவரி 1,மார்ச் 10,அக்டோபர் 7,ஜனவரி 15,0,civics,0
74,அஸ்ஸாம் ரைபிள்ஸ் எதன் கீழ் செயல்படுகிறது?,பாதுகாப்பு அமைச்சகம்,தேசிய பாதுகாப்பு ஆலோசகர்,திட்ட மேலாண்மை நிறுவனம்,உள்துறை அமைச்சகம்,உள்துறை அமைச்சகம்,3,civics,0
75, இந்தியக் கடலோரக் காவல்படை நிறுவப்பட்ட ஆண்டு,1976,1977,1978,1979,1978,2,civics,0
76,இந்திய வெளியுறவுக் கொள்கையானது பல்வேறு கோட்பாடுகளை அடிப்படையாகக் கொண்டது. அவைகளுள் ஒன்று,சத்தியமேவ ஜெயதே,பஞ்சசீலம்,மேற்கூறிய இரண்டும்,மேற்கூறிய எவையுமில்லை,பஞ்சசீலம்,1,civics,0
77,பின்வருவனவற்றுள் எந்த தீவுகள் இந்தியாவிற்கு சொந்தமானவை?,அந்தமான் மற்றும் மாலத்தீவு,அந்தமான் மற்றும் லட்சத்தீவுகள்,இலங்கை மற்றும் மாலத்தீவு,மாலத்தீவு மற்றும் லட்சத்தீவுகள்,அந்தமான் மற்றும் லட்சத்தீவுகள்,1,civics,0
78,இந்தியாவின் மிக உயர்ந்த மற்றும் இறுதியான நீதித்துறை ---------------,குடியரசுத் தலைவர்,நாடாளுமன்றம்,உச்ச நீதிமன்றம்,பிரதம அமைச்சர்,உச்ச நீதிமன்றம்,2,civics,1
79,பொதுநல வழக்கு முறை இந்தியாவில் --------------- ஆல் அறிமுகப்படுத்தப்பட்டுள்ளது.,உச்சநீதிமன்றம்,ஆ) நாடாளுமன்றம்,அரசியல் கட்சிகள்,அரசியலமைப்பு சட்ட திருத்தங்கள்,உச்சநீதிமன்றம்,0,civics,1
0,பொருளியல் பாடத்தின் கிளைகள் என்பவை,சொத்து மற்றும் நலமும்,உற்பத்தி மற்றும் நுகர்வு,தேவையும் மற்றும்  அளிப்பும்,நுண்ணியல் மற்றும் பேரியல்,நுண்ணியல் மற்றும் பேரியல்,3,economics,0
1,மேக்ரே' என்ற வார்த்தையை அறிமுகப்படுபவர் யார்?,ஆடம்ஸ்மித்,ஜே.எம்.கீனஸ்,ராக்னர் பிரிக்ஸ்,காரல் மார்க்ஸ்,ராக்னர் பிரிக்ஸ்,2,economics,0
2,நவீன பேரியல் பொருறியலின் தந்தை என அழைக்கப்படுபவர் யார் ?,ஆடம்ஸ்மித்,ஜே.எம்.கீன்ஸ்,ராக்னர் பிரிக்ஸ்,காரல் மார்க்ஸ்,ஜே.எம்.கீன்ஸ்,1,economics,0
3,பொதுவான விலையில் தொடர் உயர்வை குறிப்பிடும் கருத்து ----- ஆகும்.,மொத்த விலைக் குறியீடு ,வாணிபச்சுழல்,பணவீக்கம்,தேசியவருவாய்,பணவீக்கம்,2,economics,1
4,பொருளாதாரக் கொள்கைகளின் அவசியத்தைக் குறிப்பிடுக,அடிப்படைப் பிரச்சனைகளைத் தீர்ப்பது,தடைகளை முறியடிப்பது,வளர்ச்சியை அடைவது,மேலே கூறப்பட்ட அனைத்தும்,மேலே கூறப்பட்ட அனைத்தும்,3,economics,1
5,ஒரு பொளாதார அமைப்பில் காணப்படுவது,உற்பத்தி துறை,நுகர்வு துறை,அரசு துறை,மேலே கூறப்பட்ட அனைத்தும்,மேலே கூறப்பட்ட அனைத்தும்,3,economics,1
6,முதலாளித்துவத்தின் தந்தை என அழைக்கப்படுவர் யார்?,ஆடம்ஸ்மித்,காரல் மார்க்ஸ்,காரல் மார்க்ஸ்,தக்கேரி,ஆடம்ஸ்மித்,0,economics,0
7,முதலாளித்துவத்தை பின்பற்றும் நாடு -------ஆகும்,ரஷ்யா,அமெரிக்கா,இந்தியா,சீனா,அமெரிக்கா,1,economics,0
8,சமத்துவத்தின் தந்தையை கண்டுபிடி.,ஜே.எம்.கீன்ஸ்,காரல் மார்க்ஸ்,ஆடம்ஸ்மித்,சாமுவேல்சன்,காரல் மார்க்ஸ்,1,economics,1
9,கீழ்வருவனவற்றுள் ஓட்ட மாறிலியை கண்டுபிடி,பண அளிப்பு,சொத்துக்கள்,வருவாய்,வெளிநாட்டுச் செலாவணி இருப்பு,வருவாய்,2,economics,1
10,திறந்துவிடப்பட்ட பொருதாரத்தின் வட்ட ஓட்ட மாதிரி என்பது ------- ஆகும்.,இரு துறை மாதிரி,முத்துறை மாதிரி,நான்கு துறை மாதிரி,மேல் சொல்லப்பட்ட அனைத்தும்,நான்கு துறை மாதிரி,2,economics,0
11,உற்பத்திக்காரணியின் செலவின் அடிப்படையிலான NNP ,தேசிய வருவாய்,உள்நாட்டு வருமானம்,தலை வீத வருமானம்,சம்பளம்,தேசிய வருவாய்,0,economics,0
12,முதன்மை துறை என்பது,தொழில்,வியாபாரம்,விவாசயம்,கட்டடம் கட்டுதல்,விவாசயம்,2,economics,0
13,எத்தனை முறைகளால் தேசிய வருவாய் கணக்கிடப்படுகிறது?,2,3,5,4,3,1,economics,0
14,எவற்றை கூட்டி வருமான முறையில் தேசிய வருவாய் கணக்கிடப்படுகிறது,வருவாய்,வரி,செலவு,வருமானம்,வருமானம்,3,economics,1
15,மூன்றாம்துறை --------எனவும் அழைக்கப்படுகிறது.,பணிகள்,வருமானம்,தொழில்,உற்பத்தி,பணிகள்,0,economics,0
16,ஒரு நாட்டின் --------செயலை தேசிய வருவாய் குறிப்பிடுகிறது,தொழில்,விவாசயம்,பொருளாதாரம்,நுகர்வு,பொருளாதாரம்,2,economics,1
17,GNP = ----+ வெளிநாட்டிலிருந்து வரும் நிகர காரணி வருமானம்,NNP,NDP,GDP,தனிநபர் வருமானம்,GDP,2,economics,1
18,NNP என்பது----------,Net National Product,National Net Product,National Net Provident,Net Netional Provident,Net National Product,0,economics,1
19,மொத்த மதிப்பிலிருந்து ----- ஐ கழித்தால் நிகர மதிப்பு கிடைக்கும்?,தேய்மானம்,வருமானம்,செலவு,முடிவடைந்த பொருட்களின் மதிப்பு,தேய்மானம்,0,economics,0
20,இந்தியாவில் நிதி ஆண்டு என்பது-------,ஏப்ரல் 1முதல் மார்ச் 31,மார்ச் 1 முதல் ஏப்ரல் 30,மார்ச் 1முதல் மார்ச் 16,ஜனவரி 1 முதல் டிசம்பர் 31,ஏப்ரல் 1முதல் மார்ச் 31,0,economics,0
21,உற்பத்திப் புள்ளியில் NNP யின் மதிப்பு -----என அழைக்கப்படுகிறது,காரணி செலவில் NNP,சந்தை விலையில் NNP,காரணி செலவில் GNP,தலைவீத வருமானம்,காரணி செலவில் NNP,0,economics,0
22,ஒரு நாட்டின் சராசரி வருமானம் என்பது,தனிநபர் வருமானம்,தலைவீத வருமானம்,பணவீக்க வீதம்,செலவிடக்கூடிய வருமானம்,தலைவீத வருமானம்,1,economics,1
23,பணவீக்கத்திற்கு சரிபடுத்தப்பட்ட தேசியவருவாயின் மதிப்பு ______ என அழைக்கப்படுகிறது,பணவீக்க வீதம்,செலவிடக்கூடிய வருமானம்,GNP,உண்மை தேசிய வருவாய்,உண்மை தேசிய வருவாய்,3,economics,0
24,கீழ்கண்டவற்றுள் எது ஓட்ட கருத்துரு,சட்டைகளின் எண்ணிக்கை,மொத்த சொத்து,மாத வருமானம்,பண அளிப்பு,மாத வருமானம்,2,economics,0
25,PQLI என்பது ______ ன் குறியீடு,பொருளாதார வளர்ச்சி,பொருளாதார,பொருளாதார நலன்,பொருளாதார முன்னேற்றம்,பொருளாதார நலன்,2,economics,1
26,அதிக தேசிய வருவாய் ______ லிருந்து வருகிறது,தனியார் துறை,உள் துறை,பொது துறை,எதுவும் இல்லை,தனியார் துறை,0,economics,0
27,அமைப்புசார் வேலையின்மையின் இயல்பு,இயங்கா சமுதாயம்,சமதர்ம சமுதாயம்,இயங்கும் சமுதாயம்,கலப்பு பொருளாதாரம்,இயங்கும் சமுதாயம்,2,economics,1
28,மறைமுக வேலையின்மையின் இயல்பு -------,பூஜ்யம்,ஒன்று,இரண்டு,நேர்மறை,பூஜ்யம்,0,economics,0
29,வேலைவாய்ப்பு பற்றி தொன்மை கோட்பாட்டின் மையக் கருத்து என்பது,குறைந்து செல் விளைவு விதி ,தேவை விதி,அங்காடி விதி,நுகர்வு விதி,அங்காடி விதி,2,economics,0
30,சேமிப்புக்கும் முதலிட்டுக்கும் இடையே சமநிலையை கொண்டு வருவது------ நிகழ்வு ஆகும்.,தேவையின்,அளிப்புயின்,முலதனத்தின்,வட்டியின்,வட்டியின்,3,economics,1
31,தொகு தேவையின் கூறு-------ஆகும்,தனி நபர் தேவை,அரசு செலவு,ஏற்றுமதி மட்டும்,இறக்குமதி மட்டும்,அரசு செலவு,1,economics,0
32,மொத்த அளிப்பு சமம்------,C+I+G,C+S+G+(X-M),C+S+T+(X-M),C+S+T+Rf,C+S+T+Rf,3,economics,0
33,தொன்மை கோட்பாடு -----ஆதரிக்கிறது.,சமநிலை வரவு செலவு,உபரி வரவு செலவு,சமஅற்ற வரவு செலவு,பற்றாகுறை வரவு செலவு,சமநிலை வரவு செலவு,0,economics,0
34,------சமநிலையை கீன்ஸ்யின் கோட்பாடு ஆதரிக்கிறது,மிக குறுகிய காலம்,குறுகிய காலம்,மிக நீண்ட காலம்,நீண்ட காலம்,குறுகிய காலம்,1,economics,0
35,"தொன்மைகோட்பாட்டின் படி ,வட்டி வீதம்_____ க்கான வெகுமதி",முதலீடு,தேவை,மூலனம்,சேமிப்பு,சேமிப்பு,3,economics,0
36,சராசரி நுகர்வு நாட்டம் கணக்கிடப்படுவது ,C/Y,CY,Y/C,C+Y,C/Y,0,economics,0
37,MPCயும்  MPSயும் கூட்டினால் கிடைப்பது,1,2,0.1,1.1,1,0,economics,0
38,"வருவாய் உயர்ந்தால், நுகர்வு",குறையும்,மாறாது,ஏறி இறங்கும்,உயரும்,உயரும்,3,economics,1
39,பெருக்கியின் மதிப்பு,1/(1-MPC),1/MPS,1/MPC,B and C,B and C,3,economics,1
40,"MPC=0.5 எனில் ,பெருக்கியின் மதிப்பு",2,2024-01-02 00:00:00,0.2,20,2,0,economics,1
41,MEC என்ற கருத்துருவை உருவாக்கியவர் யார்,ஆடம் ஸ்மி்த்,கீன்ஸ்,ரிகார்டோ,மால்தஸ்,கீன்ஸ்,1,economics,1
42,மிகைபெருக்கியை என்ற கருத்துருவை உருவாக்கியவர் யார்,ஹிக்ஸ்,ஆலன்,கான்,கீன்ஸ்,ஹிக்ஸ்,0,economics,0
43,ஆர்பிஐ-ன் தலமையகம் அமைந்துள்ள இடம்,டெல்லி,சென்னை,மும்பை,பெங்களூர்,மும்பை,2,economics,0
44,காகிதப்பண முறையை மேலாண்மை செய்வது,மைய பணவியல் அமைப்பு,மாநில அரசு,மைய அரசு,வங்கிகள்,மைய பணவியல் அமைப்பு,0,economics,0
45,இர்விங் பிஷர் பணஅளவுக் கோட்பாடு பிரபலமான ஆண்டு,1908,1910,1911,1914,1911,2,economics,0
46,MV என்பது,பணத்தேவை,சட்டபூர்வ பண அளிப்பு,வங்கிப் பண அளிப்பு,மொத்த பண அளிப்பு,சட்டபூர்வ பண அளிப்பு,1,economics,1
47,பணவீக்கம் என்பது,விலைகள் அதிகரிப்பு,விலைகள் குறைதல்,பணமதிப்பு அதிகரிப்பு,விலைகள் மாறாதிருத்தல்,விலைகள் அதிகரிப்பு,0,economics,1
48,_____ என்பது பணவீக்க வகிதம் குறைந்து செல்வது ,எதிர் பணவீக்கம்,பணவாட்டம்,தேக்கவீக்கம்,மந்தம்,எதிர் பணவீக்கம்,0,economics,1
49,பற்று அட்டை என்பது ----உதாரணம் ஆகும்,கட்டளை பணம்,காகித பணம்,நெகிழி பணம்,கடன் பணம்,நெகிழி பணம்,2,economics,0
50,ஒரு வங்கி என்பது ,நிதிநிறுவனம்,கூட்டுபங்கு நிறுவனம்,தொழில்,சேவை நிறுவனம்,நிதிநிறுவனம்,0,economics,0
51,வங்கி கடன் என்பது எதை குறிக்கிறது..,கடன் பணம்,முன் பணம்,கடன் மற்றும் முன் பணம்,கடன் பெறுல்,கடன் மற்றும் முன் பணம்,2,economics,1
52,கடன் உருவாக்கம் என்பதன் பொருள்,கடன் மற்றும் முன் பணம் பெருக்கம்,வருவாய்,செலவு,சேமிப்பு,கடன் மற்றும் முன் பணம் பெருக்கம்,0,economics,0
53,வங்களின் வங்கி என அழைக்கப்படுவது,SBI,NABARD,ICICI,RBI,RBI,3,economics,1
54,மைய வங்கி நாட்டின் -----அதிகார அமைப்பு,பணவியல்,நிதியல்,கூலி,தேசிய வருவாய்,பணவியல்,0,economics,0
55,வங்கி விகிதம் என்பது ,முதல்நிலை பத்திரங்களை மறு தள்ளுபடி செய்வது,வட்டி விகிதம்,அந்நிய செலவானி,வளர்ச்சி விகிதம்,முதல்நிலை பத்திரங்களை மறு தள்ளுபடி செய்வது,0,economics,0
56,நெறிமுறை தூண்தல் என்பது,உத்தமநிலை படுத்தல்,உச்ச நிலை படுத்தல்,தூண்டுதல் நடவடிக்கை,குறைவு நிலைப்படுத்துதல்,தூண்டுதல் நடவடிக்கை,2,economics,1
57,விவாசய மறுநீதி மேம்பாட்டு கலகம் துவங்கப்பட்டது,1964,1963,1960,1965,1963,1,economics,0
58,நபார்டு வங்கி எப்போழுது துவங்கப்பட்டது,1962,1972,1982,1992,1982,2,economics,0
59,மாநில நிதிக்கழகம் எந்த சட்டத்தின் கீழ் துவங்கப்பட்டது,இந்திய அரசு,யூனியன் பிரதேசம்,தமிழக அரசு,உள்துறை அரசு,இந்திய அரசு,0,economics,0
60,பணவியல் கொள்கையை வடிவமைப்பது,கூட்றவு வங்கிகள்,வணிக வங்கிகள்,மைய வங்கி,வெளிநாட்டு வங்கி,மைய வங்கி,2,economics,0
61,நிகழ்நிலை வங்கியகம் என்பது எவ்வாறு அழைக்கப்படுகிறது?,இ-வங்கி,இணைய வங்கி,ஆர்.டி.ஜி.எஸ்,நெப்ட்,இணைய வங்கி,1,economics,1
62,பன்னாட்டு பண நிதியத்தின் தலைமை அலுவலகம் அமைந்துள்ள இடம்,வாஷிடங்டன் டி.சி,நியூ யார்க்,வியன்னா,ஜெனிவா,வாஷிடங்டன் டி.சி,0,economics,0
63,ஐபிஆர்டி இவ்வாறாகவும் அழைக்கப்படுகிறது,பன்னாட்டு பணநிதியம்,உலகவங்கி,ஆசியான்,பன்னாட்டு நிதிகழகம்,உலக வங்கி,1,economics,0
64,சிறப்பு எடுப்பு உரிமையின் மற்றொரு பெயர்,தாள் தங்கம்,பங்களவுகள்,தன் விருப்ப ஏற்றுமதி தடைகள் ,இவை ஏதுமைல்லை,தாள் தங்கம்,0,economics,0
65,நீண்டகாலக் கடன் வழங்கும் நிதி நிறுவனம்,உலகவங்கி,பன்னாட்டு பணநிதியம்,உலக வர்த்தக அமைப்பு,பிரிக்ஸ்,உலகவங்கி,0,economics,0
66, கீழ்கண்ட நாடுகள் எது சார்க் அமைப்பில் இல்லை,இலங்கை,ஜப்பான்,வங்காளதேசம்,ஆப்கானிஸ்தான்,ஜப்பான்,1,economics,0
67,பன்னாட்டு மேம்பாட்டு அமைப்பின் துணை அமைப்பு எது,பன்னாட்டு பணநிதியம்,உலகவங்கி,சார்க்,ஆசியான்,உலகவங்கி,1,economics,0
68,ஆசியான் கூட்டங்கள் -----ஆண்டுகளுக்கு ஒரு முறையை நடைப்பெறும்,2,3,4,5,3,1,economics,0
69,கீழ்கண்டவற்றுள் எது சார்க் உறுப்பினர் நாடு அல்ல,பாகிஸ்தான் ,இலங்கை,பூடான்,சீனா,சீனா,3,economics,1
70,சார்க் மாநாடு ஆண்டுகளுக்கு ஒரு முறையை நடைப்பெறும்,2,3,4,5,2,0,economics,0
71,ஆசியா அமைப்பின் தலைமையகம்,ஜகார்த்தா ,புது டெல்லி,கொழும்பு,டோக்கியோ,ஜகார்த்தா ,0,economics,0
72,பிரிக் என்ற சுருக்கச் சொல் கோர்க்கப்பட்ட ஆண்டு,2001,2005,2008,2010,2001,0,economics,1
73,ஆசியன் அமைப்பு நிறுவப்பட்ட ஆண்டு ,1965,1967,1972,1997,1967,1,economics,1
74,புதிய மேம்பாடு வங்கி இந்த அமைப்புடன் தொடர்புடையது,டபிள்யூ.டி.ஓ,பிரிக்ஸ்,சார்க்,ஆசியான்,பிரிக்ஸ்,1,economics,0
75,ஆசியன் விவாத்ததில் பங்கெடுக்கும் ஆறு நாடுகளில் சேராத நாடு,சீனா,ஜப்பான்,இந்தியா,வடகொரியா,வடகொரியா,3,economics,1
76,நவீன அரசு எனப்படுவது,தலையிடா அரசு,மேல்மட்டத்தில் உள்ளவர்களில் அரசு,நலம் பேணும் அரசு,காவல் அரசு,நலம் பேணும் அரசு,2,economics,0
77,ஜி.எஸ்.டி இதற்கு சம்ம் ?,விற்பனை வரி,தொழிற்குழும வரி ,வருமான வரி,உள்ளாட்சி வரி,விற்பனை வரி,0,economics,0
78,கீழ்வருவன்ற்றுள் எது நேர்முக வரி,வருமான வரி,கலால் வரி,சுங்க வரி,சேவை வரி,வருமான வரி,0,economics,0
79,உயிர்சார் என்ற வார்த்தையின் பொருள் என்ன?,உயிர் வாழ்வன,உயிரற்றவை,பருப்பொருள்,மேற்சொன்ன எதுவுமில்லை,உயிர் வாழ்வன,0,economics,0
0,மருத்துவ குணம் மிக்க தாவரங்களை நாம் எவ்வாறு அழைக்கிறோம்,பருப்புகள்,நறுமணச் செடிகள்,மூலிகைகள்,பட்டைகள்,மூலிகைகள்,2,biology,1
1,எந்த தாவரத்தின் விதை உணவாக பயன்படுகிறது,துவரை ,பிரண்டை,வாழை,மஞ்சள்,துவரை ,0,biology,0
2,உணவு தொடர்பான தொழிலை தேர்ந்தெடுக்க,கயிறு திரித்தல்,பருத்தி வளர்த்தல்,பூந்தோட்ட தொழில்,ஊறுகாய் தயாரித்தல்,ஊறுகாய் தயாரித்தல்,3,biology,1
3,இரத்தம் தூய்மையடை நாம் உண்ண வேண்டியது,நெல்லி,கீழாநெல்லி,சுரக்காய்,வேம்பு,சுரக்காய்,2,biology,1
4,காகிதம் தயாரிக்க பயன்படும் மரம்,தேக்கு,தென்னை,யூகலிப்டஸ்,சந்தனம்,யூகலிப்டஸ்,2,biology,0
5,மிகப் பெரிய பூவை பூக்கும் தாவரம்,தாமரை,சூரியகாந்தி,வாழை,ராஃப்ல்சியா,ராஃப்ல்சியா,3,biology,0
6,எந்த மரத்தின் தண்டு மிகவும் அகலமானதாக இருக்கும்?,ஆலமரம்,அரசமரம்,போபாப் மரம்,செக்கோயா,போபாப் மரம்,2,biology,0
7,தீப்பற்றாத மரங்கள் எவை?,செம்மரம்,கருங்காலி,போபாப் மரம்,இவை அனைத்தும்,செம்மரம்,0,biology,0
8,மிகவும் அகலமான தண்டுகளை உடைய போபாப் மரம் எந்த நாட்டில் உள்ளது.,ஜிம்பாப்வே,பிரேசில்,பெரு,உகாண்டா,ஜிம்பாப்வே,0,biology,1
9,எந்த பழமரம் நீண்ட காலம் விளைச்சலைத் தரக்கூடியது?,செக்கோயா,ஆரஞ்சு,ஆப்பள்,மாமரம்,ஆரஞ்சு,1,biology,0
10,கிரிக்கெட் மட்டை தயாரிக்கப் பயன்படும் மரம்,யூகலிப்டஸ்,மல்பெரி,வில்லோ,தேக்கு,வில்லோ,2,biology,0
11,டேன்னிஸ் மற்றும் ஹாக்கி மட்டைகள் தயாரிக்கப் பயன்படும் மரம்,வில்லோ,இலவம்,மல்பெரி,இவை அனைத்தும்,மல்பெரி,2,biology,0
12,இலவம் மரத்தின் பயன்,தீப்பெட்டி தயாரித்தல்,தீக்குச்சி தயாரித்தல்,பஞ்சு மெத்தை தலையணை தயாரித்தல்,இவை அனைத்தும்,இவை அனைத்தும்,3,biology,1
13,அதிகளவு நீர் உள்ள உணவை தேர்ந்தெடுக்க,பால்,வெள்ளரிக்காய்,தக்காளி,காளான்,வெள்ளரிக்காய்,1,biology,0
14,வைட்டமின் பி2 உள்ள உணவு பொருள்,மாம்பழம்,வெல்லம்,பட்டாணி,சர்க்கரை,பட்டாணி,2,biology,0
15,புரத குறைப்பாட்டால் வரும் நோய்,மராஸ்மஸ்,மாலைக்கண்,ஸ்கர்வி,பெரிபெரி,மராஸ்மஸ்,0,biology,0
16,கீழ்க்கண்டவைகளின் அனைத்துண்ணியை தேர்ந்தெடுக்க,சிங்கம்,ஆடு,யானை,காகம்,காகம்,3,biology,0
